,Title,Director,Rating,Airdate,Season_number,Episode_Number,Description,Genres,Cast,Character
0,Pilot,Vince Gilligan,9.0,Episode aired 20 January 2008,Season 1,Episode 1,"Just days after his 50th birthday, chemistry teacher Walter White's life of quiet desperation completely transforms when he's diagnosed with inoperable lung cancer. To support his pregnant wife and son, he partners with Jesse, a former student, to turn an old RV into a mobile meth lab. But their first attempt at unloading their product takes a deadly turn when Jesse introduces Walt to his unstable business associates.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Max Arciniega', 'John Koyama', 'Steven Michael Quezada', 'Marius Stan', 'Aaron Hill', 'Gregory Chase', 'Carmen Serano', 'Evan Bobrick', 'Roberta Marquez Seret']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Krazy-8', 'Emilio Koyama', 'Steven Gomez', 'Bogdan Wolynetz', 'Jock', 'Dr. Belknap', 'Carmen Molina', 'Chad', ""Chad's Girlfriend""]"
1,Cat's in the Bag...,Adam Bernstein,8.7,Episode aired 27 January 2008,Season 1,Episode 2,"Walt and Jesse manage to get their RV - the mobile meth lab - pulled out of the ditch but face another problem when they realize that Krazy-8, one of their attackers, is still breathing. They face grim choices and losing the coin toss, Walt is the one who has to get rid of him while Jesse will have to get rid of the dead Emilio's body. Walt's wife Skyler is puzzled by her husband's strange behavior and begins snooping, starting with his laptop. Demanding to know what is going on, Walt tells her her Jesse sells him marijuana. She confronts Jesse - just as he is removing Emilio's body from the RV. The day gets worse when Jesse ignores Walt's very specific instructions on how to get rid of the body.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Max Arciniega', 'John Koyama', 'Shane Marinson', 'Jason Byrd', 'Anthony Wamego', 'Larry Fine', 'Moe Howard', 'Shemp Howard']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Krazy-8', 'Emilio Koyama', 'Ob-Gyn', 'Ben', 'Backhoe Operator', 'Larry', 'Moe', 'Shemp']"
2,...And the Bag's in the River,Adam Bernstein,8.8,Episode aired 10 February 2008,Season 1,Episode 3,"Jesse and Walt clean up the mess caused by Jesse's chosen method to get rid of Emilio's body. Walt still has has the dilemma of what to do with Krazy 8 who is still chained in the basement and seemingly getting better. He draws up a list of the pros and cons of killing him but actually ends up developing a rapport with him and tells him of his lung cancer. He soon realizes exactly what Krazy 8 is up to. Jess is smoking more meth than he's selling. Walt's wife Skyler is concerned that his admitted marijuana use is the cause of his recent personality change. She broaches the subject with her sister who jumps to the conclusion that it's Walt Jr. who is on grass and she gets her husband Hank, a DEA agent, to have a chat with the young man.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Max Arciniega', 'Jessica Hecht', 'Steven Michael Quezada', 'Carmen Serano', 'Anna Felix', 'Julia Minesci', 'Daniel Serrano']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Krazy-8', 'Gretchen Schwartz', 'Steven Gomez', 'Carmen Molina', 'Sales Girl', 'Wendy', 'Meth Drug Dealer']"
3,Cancer Man,Jim McKay,8.3,Episode aired 17 February 2008,Season 1,Episode 4,"At a briefing, Hank presents his theory that Albuquerque has a new kingpin. At a barbecue, Skyler breaks down and Walter reveals to Hank, Marie and Walter, Jr. that he has cancer. Walter, Jr. doesn't respond well. The hole in Jesse's ceiling raises some questions. The meth is also making Jesse extremely paranoid. Skyler makes Walter go see a top oncologist. The doctor says it is possible to cure Walter, but it will be expensive. Walter does not want to risk leaving Skyler in debt. When Walter tries parking his car outside MESA, a narcissistic yuppie in his shiny, expensive, convertible BMW with the vanity plate ""KEN WINS"" cuts into a just-vacated square Walter was waiting for to park into. Ken's just messed with the wrong man.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Tess Harper', 'Steven Michael Quezada', 'Michael Bofshever', 'Kyle Bornheimer', 'Benjamin Petry', 'David House', 'Jon Kristian Moore', 'Tish Rayburn-Miller', 'Charles Baker']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Mrs. Pinkman', 'Steven Gomez', 'Mr. Pinkman', 'Ken Wins', 'Jake Pinkman', 'Dr. Delcavoli', 'DEA Agent', 'Bank Teller', 'Skinny Pete']"
4,Gray Matter,Tricia Brock,8.4,Episode aired 24 February 2008,Season 1,Episode 5,"Jesse tries to get a regular job and put his drug dealing behind him but he finds that there are few opportunities for someone with his education and experience. Jesse tries to cook a new batch of meth but can't come anywhere near Walt's standard. After attending a birthday party at a now very rich friend's house, Walt reconnects with his one-time business partner Elliott who offers him a job. It turns out Skyler told Elliott about his condition and Walt is not very pleased. Walt Jr. tries to get someone to buy him a six-pack but is busted in the process. He calls his uncle Hank to pick him up and Hank learns from Skyler that it's Walt senior who admitted smoking marijuana. Finding his behavior bizarre, the family sets up a intervention where they all get to tell Walt what they think about the situation.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Adam Godley', 'Jessica Hecht', 'Matt Jones', 'William Sterchi', 'Marc Mouchet', 'Kiira Arai', 'Bill Allen', 'Loren Haynes', 'Kyle Swimmer']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Elliott Schwartz', 'Gretchen Schwartz', 'Badger', 'Manager', 'Farley', 'Server', 'Scientist', 'Music Producer', 'Louis']"
5,Crazy Handful of Nothin',Bronwen Hughes,9.3,Episode aired 2 March 2008,Season 1,Episode 6,"Walt begins his chemotherapy and returns to cooking crystal meth with Jesse. Soon Jesse is selling their superior product on the street but he only manages to sell an ounce making each of them only $1300. Walt pushes him to be more imaginative and find a distributor to whom they can sell in bulk. Against his better judgment, Jesse approaches Krazy 8's replacement as a drug wholesaler, a big time operator named Tuco who doesn't quite do business the way he had expected. It's left to Walt to sort it all out, telling Tuco his name is Heisenberg. Walt's having a hard time dealing with his chemo and is frequently ill. DEA agent Hank traces the gas mask they found in the desert to Walt's high school and makes an arrest.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Raymond Cruz', 'Steven Michael Quezada', 'Carmen Serano', 'Pierre Barrera', 'Charles Baker', 'Jesus Jr.', 'Cesar Garcia', 'Vivian Nesbitt', 'Judith Rane']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Tuco Salamanca', 'Steven Gomez', 'Carmen Molina', 'Hugo Archuleta', 'Skinny Pete', 'No-Doze', 'Gonzo', 'Mrs. Pope', 'Office Manager']"
6,A No-Rough-Stuff-Type Deal,Tim Hunter,8.9,Episode aired 9 March 2008,Season 1,Episode 7,"Having made a deal with Tuco to provide him with two pounds of crystal meth the following week, Walt learns from Jesse that they may have problems getting a key ingredient. Enjoying his new Heisenberg persona, Walt delivers only half a pound to Tuco but demands the entire amount of cash with the promise that he'll deliver four pounds the following week. Jesse reels, but Walt has a plan. They will have to break into a pharmaceutical supply warehouse however. Skyler's sister Marie throws a baby shower for her and her gift is a baby's tiara. Deciding that it's too extravagant, Skyler tries to return it to the store with surprising results.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Raymond Cruz', 'Carmen Serano', 'Beth Bailey', 'Geoffrey Rivas', 'David House', 'Cesar Garcia', 'Jesus Jr.', 'Mike Miller', 'Lorri Oliver']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Tuco Salamanca', 'Carmen Molina', 'Realtor', 'Police Officer', 'Dr. Delcavoli', 'Gonzo', 'No-Doze', 'Jewelry Store Owner', 'Concerned Parent']"
7,Seven Thirty-Seven,Bryan Cranston,8.7,Episode aired 8 March 2009,Season 2,Episode 1,"Having completed their deal with Tuco in the junkyard, Walt and Jesse realize just how crazy and violent he can be. Jesse is convinced that he's seen Tuco's black SUV going up and down his street. Walt puts it down to paranoia - until he sees a black SUV parked just down the block from his house. Jesse's solution is to shoot Tuco before he kills them but Walt has a better idea. Panic sets in however when they think Tuco is killing his associates. Hank reviews the security surveillance footage of the warehouse break-in without realizing it's Walt and Jesse. Skyler tells Hank about Marie's shoplifting and gets a surprising reaction.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Raymond Cruz', 'Steven Michael Quezada', 'Jesus Jr.', 'Cesar Garcia', 'Isaac Kappy', 'Ryan Lee', 'Vic Browder']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Tuco Salamanca', 'Steven Gomez', 'Gonzo', 'No-Doze', 'Rowdy Prisoner', 'Neighborhood Kid', 'Detective']"
8,Grilled,Charles Haid,9.3,Episode aired 15 March 2009,Season 2,Episode 2,"Having been kidnapped by a crazed Tuco, Walt and Jesse are held prisoner by him in a desert shack where he often hides out and takes care of his sick uncle. Walt's brother-in-law Hank and the DEA have rolled Tuco's entire organization and he thinks that his two prisoners may have been a source of information. Walt tries to feed Tuco the poison he prepared. Walter Jr. meanwhile takes a bit of time off to look for Walt. Skyler is sick with worry and has been distributing handbills with Walt's photo. He remembers that Jesse Pinkman was Walt's source of marijuana and tries to track him down. Tuco finally realizes that his prisoners are up to something and is obviously going to kill Jesse. After a fight in which Tuco is shot, Hank shows up looking for Jesse.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Raymond Cruz', 'Tess Harper', 'Mark Margolis', 'Steven Michael Quezada', 'Nigel Gibbs', 'Dana Cortez']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Tuco Salamanca', 'Mrs. Pinkman', 'Tio Salamanca', 'Steven Gomez', 'APD Detective Tim Roberts', 'TV Reporter']"
9,Bit by a Dead Bee,Terry McDonough,8.4,Episode aired 22 March 2009,Season 2,Episode 3,"Having gotten away from Tuco, Walt and Jesse now have to get home and explain where they have been. Walt has a plan and they split up. He goes to a supermarket and takes off all of his clothes while walking around the aisles. He's hospitalized and claims to have no memory of where he's been for the last few days. Jesse returns to his house to clean out the basement and get rid of the RV. When the DEA also track him down, he claims that he's been shacked up with a prostitute for the weekend. The police don't believe him and think they know how to nail him: they bring in Tuco's uncle to identify him. With some of his problems now behind him, Walt is keen to start cooking again.","[' Crime', ' Drama', ' Thriller']","['Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Mark Margolis', 'Harry Groener', 'Michael Shamus Wiles', 'Matt Jones', 'Tom Kiesche', 'Steven Michael Quezada', 'David House', 'Julia Minesci', 'Todd Terry']","['Walter White', 'Skyler White', 'Jesse Pinkman', 'Hank Schrader', 'Marie Schrader', 'Walter White, Jr.', 'Tio Salamanca', 'Dr. Chavez', 'ASAC George Merkert', 'Badger', 'Clovis', 'Steven Gomez', 'Dr. Delcavoli', 'Wendy', 'SAC']"
